#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  18500      2.50e+00    2.73e+00      5.15e-02    5.47e-02      1.12e-01    1.22e-01    1.0e-03
  18600      2.35e+00    1.84e+00      5.59e-02    2.83e-02      1.05e-01    8.21e-02    1.0e-03
  18700      3.25e+00    2.23e+00      6.33e-02    4.47e-03      1.45e-01    9.97e-02    1.0e-03
  18800      2.38e+00    2.21e+00      6.01e-02    4.54e-02      1.06e-01    9.84e-02    1.0e-03
  18900      3.39e+00    3.30e+00      4.75e-02    7.56e-02      1.51e-01    1.47e-01    1.0e-03
  19000      2.49e+00    4.04e+00      1.11e-01    2.83e-01      1.10e-01    1.78e-01    1.0e-03
  19100      4.45e+00    2.03e+00      4.85e-02    5.19e-02      1.99e-01    9.04e-02    1.0e-03
  19200      2.38e+00    3.77e+00      9.28e-02    8.73e-02      1.05e-01    1.68e-01    1.0e-03
  19300      2.88e+00    2.34e+00      3.86e-02    1.67e-01      1.29e-01    1.01e-01    1.0e-03
  19400      3.43e+00    3.21e+00      8.29e-02    1.90e-01      1.53e-01    1.41e-01    1.0e-03
  19500      2.53e+00    2.58e+00      8.38e-02    1.32e-01      1.12e-01    1.13e-01    1.0e-03
  19600      3.62e+00    2.13e+00      4.98e-02    6.79e-02      1.62e-01    9.48e-02    1.0e-03
  19700      3.01e+00    2.65e+00      1.90e-01    1.73e-02      1.32e-01    1.18e-01    1.0e-03
  19800      4.41e+00    2.69e+00      9.22e-02    1.29e-03      1.96e-01    1.21e-01    1.0e-03
  19900      3.06e+00    3.44e+00      4.40e-02    8.14e-02      1.37e-01    1.53e-01    1.0e-03
  20000      3.79e+00    3.34e+00      5.74e-02    3.82e-02      1.69e-01    1.49e-01    1.0e-03
  20100      2.16e+00    2.49e+00      1.91e-01    3.95e-02      9.36e-02    1.11e-01    1.0e-03
  20200      2.48e+00    2.95e+00      9.51e-02    2.01e-01      1.10e-01    1.30e-01    1.0e-03
  20300      3.80e+00    2.40e+00      9.02e-02    2.26e-02      1.69e-01    1.07e-01    1.0e-03
  20400      2.20e+00    2.65e+00      6.48e-02    4.67e-02      9.73e-02    1.18e-01    1.0e-03
  20500      3.24e+00    2.90e+00      2.00e-01    3.30e-02      1.42e-01    1.29e-01    1.0e-03
  20600      2.91e+00    2.23e+00      4.28e-02    6.14e-02      1.30e-01    9.93e-02    1.0e-03
  20700      5.68e+00    3.99e+00      4.41e-02    7.73e-02      2.54e-01    1.78e-01    1.0e-03
  20800      2.81e+00    3.42e+00      7.33e-02    2.07e-03      1.25e-01    1.53e-01    1.0e-03
  20900      2.70e+00    3.14e+00      6.37e-02    2.07e-01      1.20e-01    1.38e-01    1.0e-03
  21000      3.85e+00    2.15e+00      9.99e-02    5.32e-02      1.71e-01    9.57e-02    1.0e-03
  21100      3.57e+00    3.76e+00      9.60e-02    3.43e-02      1.59e-01    1.68e-01    1.0e-03
  21200      3.57e+00    2.48e+00      6.46e-02    4.94e-02      1.59e-01    1.11e-01    1.0e-03
  21300      2.65e+00    3.21e+00      8.79e-02    3.35e-03      1.17e-01    1.44e-01    1.0e-03
  21400      3.44e+00    2.62e+00      1.06e-01    5.55e-02      1.53e-01    1.17e-01    1.0e-03
  21500      2.78e+00    3.74e+00      1.51e-01    1.50e-01      1.22e-01    1.66e-01    1.0e-03
  21600      3.49e+00    2.26e+00      5.15e-02    6.63e-02      1.56e-01    1.00e-01    1.0e-03
  21700      2.88e+00    2.59e+00      4.84e-02    1.07e-01      1.28e-01    1.15e-01    1.0e-03
  21800      2.52e+00    2.73e+00      1.04e-01    1.34e-02      1.12e-01    1.22e-01    1.0e-03
  21900      2.55e+00    2.68e+00      6.84e-03    7.42e-02      1.14e-01    1.19e-01    1.0e-03
  22000      3.21e+00    2.54e+00      1.16e-01    1.76e-02      1.42e-01    1.14e-01    1.0e-03
  22100      2.86e+00    2.16e+00      4.31e-02    1.25e-01      1.28e-01    9.31e-02    1.0e-03
  22200      2.81e+00    2.99e+00      9.04e-02    6.59e-02      1.25e-01    1.33e-01    1.0e-03
  22300      3.35e+00    2.02e+00      1.77e-02    7.07e-03      1.50e-01    9.02e-02    1.0e-03
  22400      3.11e+00    2.69e+00      5.21e-02    1.04e-01      1.39e-01    1.19e-01    1.0e-03
  22500      2.92e+00    2.69e+00      8.66e-02    1.27e-01      1.29e-01    1.19e-01    1.0e-03
  22600      2.66e+00    2.83e+00      8.67e-02    7.41e-02      1.18e-01    1.25e-01    1.0e-03
  22700      3.36e+00    2.15e+00      6.60e-02    2.68e-03      1.50e-01    9.63e-02    1.0e-03
  22800      3.24e+00    3.95e+00      6.49e-02    5.19e-02      1.44e-01    1.76e-01    1.0e-03
  22900      2.59e+00    3.53e+00      8.02e-02    6.43e-03      1.15e-01    1.58e-01    1.0e-03
