#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  12200      4.03e+00    4.23e+00      2.60e-02    1.32e-01      1.80e-01    1.88e-01    1.0e-03
  12300      2.65e+00    2.94e+00      1.15e-01    1.18e-01      1.17e-01    1.30e-01    1.0e-03
  12400      3.55e+00    2.28e+00      1.33e-01    9.67e-02      1.57e-01    1.01e-01    1.0e-03
  12500      2.22e+00    2.07e+00      5.23e-02    6.49e-02      9.90e-02    9.19e-02    1.0e-03
  12600      2.54e+00    1.69e+00      1.07e-01    1.15e-01      1.12e-01    7.35e-02    1.0e-03
  12700      2.22e+00    3.41e+00      5.50e-02    2.50e-01      9.88e-02    1.50e-01    1.0e-03
  12800      2.77e+00    2.73e+00      4.82e-02    1.91e-01      1.23e-01    1.20e-01    1.0e-03
  12900      2.79e+00    1.74e+00      4.65e-02    2.74e-02      1.24e-01    7.78e-02    1.0e-03
  13000      2.43e+00    2.52e+00      6.96e-02    1.95e-01      1.08e-01    1.11e-01    1.0e-03
  13100      3.02e+00    2.45e+00      7.59e-02    6.39e-02      1.34e-01    1.09e-01    1.0e-03
  13200      2.82e+00    1.87e+00      1.20e-01    2.40e-02      1.24e-01    8.36e-02    1.0e-03
  13300      2.83e+00    3.77e+00      5.82e-02    5.89e-02      1.26e-01    1.68e-01    1.0e-03
  13400      3.31e+00    3.10e+00      5.54e-02    7.79e-02      1.47e-01    1.38e-01    1.0e-03
  13500      3.00e+00    2.73e+00      1.26e-01    1.14e-01      1.33e-01    1.21e-01    1.0e-03
  13600      3.01e+00    2.17e+00      8.04e-02    8.52e-02      1.33e-01    9.60e-02    1.0e-03
  13700      2.57e+00    2.12e+00      9.28e-02    8.17e-02      1.14e-01    9.41e-02    1.0e-03
  13800      2.32e+00    4.09e+00      4.04e-02    2.08e-02      1.03e-01    1.83e-01    1.0e-03
  13900      3.17e+00    2.92e+00      1.32e-01    5.95e-03      1.40e-01    1.31e-01    1.0e-03
  14000      2.77e+00    2.47e+00      1.26e-01    7.57e-02      1.23e-01    1.10e-01    1.0e-03
  14100      3.34e+00    2.71e+00      5.92e-02    5.59e-02      1.49e-01    1.21e-01    1.0e-03
  14200      4.37e+00    2.53e+00      4.21e-02    2.23e-02      1.95e-01    1.13e-01    1.0e-03
  14300      2.89e+00    2.29e+00      9.98e-02    3.73e-03      1.29e-01    1.03e-01    1.0e-03
  14400      3.22e+00    2.37e+00      9.16e-02    1.52e-01      1.43e-01    1.03e-01    1.0e-03
  14500      2.39e+00    1.91e+00      6.02e-02    4.48e-02      1.06e-01    8.52e-02    1.0e-03
  14600      2.26e+00    2.23e+00      1.14e-01    2.05e-02      9.94e-02    9.99e-02    1.0e-03
  14700      2.42e+00    2.23e+00      7.00e-02    8.90e-03      1.08e-01    9.96e-02    1.0e-03
  14800      2.20e+00    2.46e+00      1.16e-01    1.04e-01      9.68e-02    1.09e-01    1.0e-03
  14900      1.87e+00    2.38e+00      6.58e-02    1.31e-02      8.30e-02    1.07e-01    1.0e-03
  15000      2.28e+00    2.23e+00      4.42e-02    1.70e-01      1.02e-01    9.80e-02    1.0e-03
  15100      3.18e+00    2.98e+00      9.04e-02    7.41e-02      1.41e-01    1.33e-01    1.0e-03
  15200      2.47e+00    2.16e+00      1.21e-01    4.92e-02      1.07e-01    9.64e-02    1.0e-03
  15300      2.35e+00    2.25e+00      5.19e-02    1.22e-01      1.05e-01    9.76e-02    1.0e-03
  15400      3.71e+00    2.56e+00      1.14e-01    1.60e-01      1.62e-01    1.13e-01    1.0e-03
  15500      2.68e+00    3.56e+00      9.82e-02    2.13e-02      1.19e-01    1.59e-01    1.0e-03
  15600      2.35e+00    2.44e+00      8.42e-02    1.17e-01      1.04e-01    1.08e-01    1.0e-03
  15700      3.51e+00    2.23e+00      3.55e-02    5.39e-03      1.57e-01    9.97e-02    1.0e-03
  15800      2.28e+00    2.72e+00      8.37e-02    8.86e-02      1.01e-01    1.21e-01    1.0e-03
  15900      3.02e+00    2.29e+00      1.72e-01    3.68e-02      1.30e-01    1.02e-01    1.0e-03
  16000      2.37e+00    2.81e+00      4.37e-02    1.48e-01      1.06e-01    1.24e-01    1.0e-03
  16100      3.50e+00    3.70e+00      1.10e-01    7.41e-02      1.52e-01    1.65e-01    1.0e-03
  16200      2.27e+00    1.74e+00      2.92e-02    4.72e-02      1.01e-01    7.76e-02    1.0e-03
  16300      2.19e+00    2.75e+00      5.94e-02    6.37e-02      9.72e-02    1.23e-01    1.0e-03
  16400      2.51e+00    3.09e+00      6.62e-02    5.18e-02      1.11e-01    1.38e-01    1.0e-03
  16500      3.31e+00    2.23e+00      7.45e-02    1.07e-01      1.47e-01    9.83e-02    1.0e-03
  16600      2.76e+00    2.57e+00      8.32e-02    8.85e-02      1.23e-01    1.13e-01    1.0e-03
  16700      3.73e+00    3.04e+00      6.10e-02    1.28e-01      1.67e-01    1.35e-01    1.0e-03
  16800      2.67e+00    2.85e+00      1.56e-01    8.41e-02      1.18e-01    1.27e-01    1.0e-03
  16900      2.61e+00    2.38e+00      4.77e-02    1.27e-01      1.16e-01    1.03e-01    1.0e-03
  17000      2.77e+00    2.04e+00      6.93e-02    3.76e-02      1.23e-01    9.09e-02    1.0e-03
  17100      2.77e+00    3.54e+00      1.05e-01    5.75e-02      1.22e-01    1.58e-01    1.0e-03
  17200      2.50e+00    2.02e+00      5.11e-02    3.76e-02      1.11e-01    9.03e-02    1.0e-03
  17300      3.11e+00    4.01e+00      7.72e-02    4.99e-02      1.38e-01    1.79e-01    1.0e-03
  17400      2.08e+00    1.75e+00      5.16e-02    7.23e-02      9.26e-02    7.74e-02    1.0e-03
  17500      2.38e+00    1.97e+00      7.11e-02    3.59e-02      1.06e-01    8.77e-02    1.0e-03
  17600      2.81e+00    3.05e+00      1.44e-01    1.17e-01      1.22e-01    1.36e-01    1.0e-03
  17700      3.40e+00    2.02e+00      3.01e-02    1.18e-02      1.52e-01    9.02e-02    1.0e-03
